h1	1216	420
h2	1191	420
h3	1166	420
h4	1141	420
h5	1117	420
h6	1092	420
h7	1067	420
h8	1042	420
h9	1017	420
h10	993	420
h11	968	420
h12	943	420
h13	918	420
h14	893	420
h15	869	420
h16	844	420
h17	819	420
h18	794	420
h19	769	420
h20	745	420
h21	720	420
h22	695	420
h23	670	420
h24	645	420
h25	621	420
h26	596	420
h27	571	420
h28	546	420
h29	521	420
h30	497	420
h31	472	420
h32	447	420
h33	422	420
h34	397	420
h35	373	420
h36	348	420
h37	323	420
h38	298	420
h39	273	420
h40	249	420
h41	224	420
h42	199	420
h43	174	420
h44	149	420
h45	125	420
h46	100	420
h47	75	420
h48	50	420
h49	25	420
h50	1	420
rv1	660	400
rv2	660	370
rv3	660	340
rv4	660	310
rv5	660	280
rv6	660	250
rv7	660	220
rv8	660	190
rv9	660	160
rv10	660	130
rv11	660	100
rv12	660	70
lv1	1020	400
lv2	1020	370
lv3	1020	340
lv4	1020	310
lv5	1020	280
lv6	1020	250
lv7	1020	220
lv8	1020	190
lv9	1020	160
lv10	1020	130
lv11	1020	100
lv12	1020	70
